"date","time","bmpTempC","lpsTempC","shtTempC","shtHumidPercent","windSpeedMPH","ds18TempC","lpsPressHpa","lux","htuTempC","htuHumidPercent","bmpPressPa","batterySOC","windGustMPH","ezoPH","ezoECuScm","ezoDOmgL"
"2020-11-17","00:00:02","6.79","5.91","5.12","79.16","0","11","1013.47","0","6.76","40.02","1015.57","null","0","null","null","null"
"2020-11-17","01:00:01","6.09","5.14","4.49","86.52","0","11","1012.8","0","6.17","39.99","1014.97","null","0","null","null","null"
"2020-11-17","02:00:02","5.68","4.84","3.74","88.33","0","11","1012.8","0","5.74","39.99","1014.99","null","0","null","null","null"
"2020-11-17","03:00:02","5.27","4.26","3.32","88.99","0","10.5","1012.47","0","5.31","39.82","1014.7","null","0","null","null","null"
"2020-11-17","04:00:01","4.84","3.99","3.25","86.72","0","10.5","1012.17","0","4.89","39.72","1014.42","null","0","null","null","null"
"2020-11-17","05:00:02","4.66","4.42","3.53","91.44","0","10.5","1012.1","0","4.64","39.83","1014.34","null","0","null","null","null"
"2020-11-17","06:00:01","4.71","4.41","3.53","85.66","0","10.5","1011.69","0","4.69","39.8","1013.92","null","0","null","null","null"
"2020-11-17","07:00:02","4.72","4.07","2.84","93.61","0","10.5","1012.08","3447.66","4.78","39.54","1014.33","null","0","null","null","null"
"2020-11-17","08:00:02","5.8","6.26","6.71","74.54","0","10.5","1012.53","11782.94","5.66","38.92","1014.64","null","0","null","null","null"
"2020-11-17","09:00:02","12.23","11.63","11.6","42.18","0","10.5","1012.53","20027.24","12.01","32.52","1014.15","null","0","null","null","null"
"2020-11-17","10:00:02","18.66","14.24","14.91","37.51","0","10.5","1012.3","17875.76","18.65","27.3","1013.49","null","0","null","null","null"
"2020-11-17","11:00:02","21.83","13.32","13.67","37.92","0","11","1011.89","52914.59","21.66","25.06","1013.02","null","0","null","null","null"
"2020-11-17","12:00:01","23.17","15.32","14.56","36.39","0.985942461538459","11","1011.6","12510.69","23.15","24.39","1012.54","null","5.0499","null","null","null"
"2020-11-17","13:00:02","21.43","13.41","11.43","44.04","1.2029990769230736","11","1011.19","11376.6","21.84","26.75","1012.32","null","5.3238","null","null","null"
"2020-11-17","14:00:02","20.08","12.93","11.65","43.67","1.2150464615384577","11","1011.05","15636.57","20.31","28.95","1012.24","null","3.9742","null","null","null"
"2020-11-17","15:00:01","16.45","10.96","10.84","49.45","1.3624481538461517","10.5","1011","7484.71","16.69","32.38","1012.37","null","4.0277","null","null","null"
"2020-11-17","16:00:03","13.96","9.52","8.52","62.4","1.3829098461538427","10.5","1011.29","688.21","14.03","34.42","1012.9","null","5.6645","null","null","null"
"2020-11-17","17:00:01","11.44","7.53","6.83","72.34","1.7124581538461514","10.5","1011.31","0","11.42","36.52","1013.06","null","5.6511","null","null","null"
"2020-11-17","18:00:02","9.04","6.54","5.51","78","2.1424492307692304","10.5","1011.94","0","9.19","37.77","1013.84","null","7.0208","null","null","null"
"2020-11-17","19:00:02","8.99","7.84","7.44","67.71","2.3934910769230777","10.5","1012.42","0","9.1","37.22","1014.29","null","7.6889","null","null","null"
"2020-11-17","20:00:02","9.73","8.49","7.57","65.26","2.182620307692308","10.5","1012.94","0","9.78","36.38","1014.79","null","7.8158","null","null","null"
"2020-11-17","21:00:01","9.48","8.23","7.21","64.97","0.8276684615384525","10.5","1013.49","0","9.52","36.48","1015.33","null","4.3417","null","null","null"
"2020-11-17","22:00:02","8.77","6.19","4.37","92.53","0.7556776923076853","10.5","1014.34","0","8.77","36.55","1016.24","null","0.774","null","null","null"
"2020-11-17","23:00:02","8.06","6.68","4.6","83.61","0.7589161538461475","10.5","1014.72","0","8.03","37.74","1016.7","null","1.1014","null","null","null"
